Member_number,Date,productId,items,productName,price,order_value
1808,21-07-2015,1,3,tropical fruit,7.803532318,23.410596954
2552,05-01-2015,2,1,whole milk,1.8,1.8
2300,19-09-2015,3,3,pip fruit,3.0,9.0
1187,12-12-2015,4,3,other vegetables,0.8,2.4000000000000004
3037,01-02-2015,2,1,whole milk,1.8,1.8
4941,14-02-2015,5,1,rolls/buns,1.2,1.2
4501,08-05-2015,4,3,other vegetables,0.8,2.4000000000000004
3803,23-12-2015,6,2,pot plants,3.5,7.0
2762,20-03-2015,2,3,whole milk,1.8,5.4
4119,12-02-2015,1,3,tropical fruit,7.803532318,23.410596954
1340,24-02-2015,7,3,citrus fruit,1.5,4.5
2193,14-04-2015,8,3,beef,19.5,58.5
1997,21-07-2015,9,1,frankfurter,5.5,5.5
4546,03-09-2015,10,3,chicken,7.2,21.6
4736,21-07-2015,11,2,butter,3.2,6.4
1959,30-03-2015,12,1,fruit/vegetable juice,2.1,2.1
1974,03-05-2015,13,2,packaged fruit/vegetables,3.5,7.0
2421,02-09-2015,14,2,chocolate,11.5,23.0
1513,03-08-2015,15,2,specialty bar,5.2,10.4
1905,07-07-2015,4,2,other vegetables,0.8,1.6
2810,08-09-2015,16,1,butter milk,6.1,6.1
2867,12-11-2015,2,1,whole milk,1.8,1.8
3962,18-09-2015,1,2,tropical fruit,7.803532318,15.607064636
1088,30-11-2015,1,2,tropical fruit,7.803532318,15.607064636
4976,17-07-2015,17,1,bottled water,0.5,0.5
4056,12-06-2015,18,1,yogurt,2.2,2.2
3611,13-02-2015,19,1,sausage,3.1,3.1
1420,14-01-2015,4,3,other vegetables,0.8,2.4000000000000004
4286,08-03-2015,20,3,brown bread,0.8,2.4000000000000004
4918,27-01-2015,18,3,yogurt,2.2,6.6000000000000005
4783,22-10-2015,21,2,hamburger meat,12.3,24.6
3709,26-10-2015,22,3,root vegetables,1.8,5.4
4289,08-10-2015,23,2,pork,7.2,14.4
1559,03-10-2015,8,2,beef,19.5,39.0
2900,11-04-2015,24,3,pastry,3.1,9.3
1905,21-02-2015,12,2,fruit/vegetable juice,2.1,4.2
3527,29-09-2015,25,3,canned beer,1.1,3.3000000000000003
1495,09-01-2015,22,3,root vegetables,1.8,5.4
3558,03-04-2015,7,1,citrus fruit,1.5,1.5
3128,20-04-2015,19,3,sausage,3.1,9.3
1863,04-08-2015,1,1,tropical fruit,7.803532318,7.803532318
3841,19-07-2015,26,3,berries,10.8,32.400000000000006
3903,06-10-2015,25,3,canned beer,1.1,3.3000000000000003
2658,16-10-2015,16,1,butter milk,6.1,6.1
4272,06-06-2015,27,1,coffee,8.5,8.5
1120,26-09-2015,24,3,pastry,3.1,9.3
2676,15-08-2015,5,2,rolls/buns,1.2,2.4
1697,21-05-2015,28,1,misc. beverages,1.2,1.2
2507,25-08-2015,22,2,root vegetables,1.8,3.6
4620,11-03-2015,19,2,sausage,3.1,6.2
3365,01-02-2015,25,2,canned beer,1.1,2.2
2978,05-06-2015,29,1,ham,15.2,15.2
2910,28-07-2015,30,2,turkey,12.5,25.0
1061,05-09-2015,2,1,whole milk,1.8,1.8
3276,03-04-2015,2,2,whole milk,1.8,3.6
1326,19-06-2015,13,3,packaged fruit/vegetables,3.5,10.5
3023,28-07-2015,5,3,rolls/buns,1.2,3.5999999999999996
2185,11-10-2015,29,1,ham,15.2,15.2
3552,16-06-2015,5,3,rolls/buns,1.2,3.5999999999999996
1967,20-01-2015,4,3,other vegetables,0.8,2.4000000000000004
4708,20-03-2015,19,2,sausage,3.1,6.2
2874,15-02-2015,19,1,sausage,3.1,3.1
4177,13-04-2015,9,2,frankfurter,5.5,11.0
1663,07-02-2015,5,2,rolls/buns,1.2,2.4
